Model,NLP Valid,NLP Test,NO NLP Valid,NO NLP Test
Unprocessed MSE,0.00020099252287764102,0.00020099252287764102,0.15063045918941498,0.15063045918941498
Processed MSE,0.00014680925232823938,0.00014680925232823938,0.15177835524082184,0.15177835524082184
Unprocessed R Square,0.999434769153595,0.999434769153595,0.5764048099517822,0.5764048099517822
Processed R Square,0.9995871782302856,0.9995871782302856,0.5731767416000366,0.5731767416000366
