Model,NLP Valid,NLP Test,Linear Valid,Linear Test
Unprocessed MSE,1.36102807996886e-26,1.36102807996886e-26,0.23560746086568418,0.23560746086568418
Processed MSE,2.970857467293816e-05,2.970857467293816e-05,0.23546971056669508,0.23546971056669508
Unprocessed R Square,1.0,1.0,0.3374368367106745,0.3374368367106745
Processed R Square,0.9999164550768478,0.9999164550768478,0.33782421100479454,0.33782421100479454
