Model,NLP Valid,NLP Test, NO NLP Valid, NO NLP Test
Unprocessed Mse,0.03163410679709657,0.031094093682270254,0.032258707510473876,0.032258707510473876
Processed Mse,0.02953556052982845,0.03436184420300062,0.12077210652574126,0.12077210652574126
Unprocessed R Square,0.9693502006980713,0.9428713091541481,0.9092837246612095,0.9092837246612095
Processed R Square,0.9825893925171708,0.9122929670621289,0.6603709040333485,0.6603709040333485
